date,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak
2017-12-15,0,0,48,0.0,0,31,0,24,54
2017-12-16,0,0,63,0.0,48,83,0,66,0
2017-12-17,48,0,49,77.0,55,100,0,57,0
2017-12-18,43,0,44,0.0,12,26,0,51,0
2017-12-19,44,0,71,0.0,89,53,100,42,0
2017-12-20,45,0,61,0.0,52,40,0,54,0
2017-12-21,0,0,54,0.0,41,0,54,34,0
2017-12-22,54,0,61,0.0,61,96,0,13,56
2017-12-23,0,0,88,0.0,16,16,0,52,0
2017-12-24,0,0,100,100.0,18,0,0,30,0
2017-12-25,0,0,31,0.0,86,36,0,100,0
2017-12-26,48,0,25,0.0,69,71,54,34,100
2017-12-27,0,0,35,0.0,42,44,55,35,0
